id,type,time,author,author_id,re_tweeter,associated_tweet,text
1.14E+018,tweet,1560000000000,hariskhan1424,7.77E+017,,1.14E+018,Just watched  KabirSingh.What a performance by  shahidkapoor This man showed his class in that movie freetimepic.twitter.com/1hUmfnxbOB
1.14E+018,tweet,1560000000000,asavisingh72,849078860,,1.14E+018,shahidkapoor Advani_Kiara I had had enough of those incomplete storiesEnough of love not getting its wayThis story changed everything Beautiful story Amazing portrayals by both of you Loved you both in  KabirSingh
1.14E+018,tweet,1560000000000,zairashikari,2240414418,,1.14E+018,So one of the things I wanted to make sure I do is to share this honest AF review of  KabirSingh by  su4ita .. You know even I've kept questioning myself and my double standards since I loved Arjun Reddy at first place.. But Man. No.
1.14E+018,tweet,1560000000000,ShivMdi,190294859,,1.14E+018,About both  KabirSingh and  GameOverpic.twitter.com/17cGllFpWw
1.14E+018,tweet,1560000000000,ImSouvikGhosh,2165891041,,1.14E+018,shahidkapoor Kabir Singh This movie is a new age movie which shows the life aspects of two student in Delhi medical college. The intense love of two students have been depicted in this movie and the problem they face during the time of their relationship.
1.14E+018,tweet,1560000000000,DesmondMiles77,265235313,,1.14E+018,KabirSingh is 3 hours of garbage.
1.14E+018,tweet,1560000000000,poojashah0998,8.08E+017,,1.14E+018,""" KabirSingh  kabirsinghboxoffice  shahidkapoor  Advani_Kiara What a phenomenal work.... I am so happy after watching this movie... Its so perfect according to concept"
1.14E+018,tweet,1560000000000,MukeshKumarDey5,1.1E+018,,1.14E+018,Hi  PrimeVideoIN Why can't you update your movie list. Requesting you to please add the following:1. The curse of the weeping woman2. Jumbo3. Incredibles 24. PM Narendra Modi5. The Tashkent files6. Kabir Singh7. SOTY2PLEASE UPDATE ME IF YOU ADD ANY!!
1.14E+018,tweet,1560000000000,ethics_in,1.09E+018,,1.14E+018,Much better than any bollywood crap. Bollywood is now jealous of  bahubali and  kabirsingh . Go and watch crappy movies like hate story and have fun.
1.14E+018,tweet,1560000000000,MouthShut_com,65849975,,1.14E+018,5/5  Review on  KabirSingh by Shareef206  Â â¦
1.14E+018,tweet,1560000000000,MukeshKumarDey5,1.1E+018,,1.14E+018,NetflixIndia Why can't you update your movie list. Requesting you to please add the following:1. The curse of the weeping woman2. Jumbo3. Incredibles 24. PM Narendra Modi5. The Tashkent files6. Kabir Singh7. SOTY2PLEASE UPDATE ME IF YOU ADD ANY!!
1.14E+018,tweet,1560000000000,Gagansgoraya,7.74E+017,,1.14E+018,shahidkapoor hands down the best!!  kabirsingh was great but his acting was beyond great.
1.14E+018,tweet,1560000000000,ethics_in,1.09E+018,,1.14E+018,Much better than any bollywood crap. Bollywood is now jealous of  bahubali and  kabirsingh both Telugu films.
1.14E+018,tweet,1560000000000,ethics_in,1.09E+018,,1.14E+018,Much better than any bollywood crap. Bollywood is now jealous of  bahubali and  kabirsingh both Telugu films.
1.14E+018,tweet,1560000000000,kevin29db,4683263718,,1.14E+018,imvangasandeep keeps the writing intact for  KabirSingh and makes a perfect Casting of  shahidkapoor &  Advani_Kiara who played their role with conviction. This  ArjunReddy remake is definitely worth a watch
1.14E+018,tweet,1560000000000,LightDemUp,9.15E+017,,1.14E+018,"""While Leila Is being promoted and Tukde Tudke were celebrated in the name of FOS"
1.14E+018,tweet,1560000000000,Mayank2989,44956476,,1.14E+018,"""There are several things objectionable about  KabirSingh"
1.14E+018,tweet,1560000000000,KingPhilosophus,3257722376,,1.14E+018,"""Its erronous to analyse everything from a gender perspective"
1.14E+018,tweet,1560000000000,Gagansgoraya,7.74E+017,,1.14E+018,shahidkapoor is hands down the best when it comes to acting just cause it seems so natural and he does a hell of a job being the character he is suppose to be plus he throws his Punjabi around like a boss here and there.  kabirsingh was a great movie.
1.14E+018,tweet,1560000000000,RiyaPatel459,8.22E+017,,1.14E+018,KabirSingh has the best songs
1.14E+018,tweet,1560000000000,RatiSingh_,112136716,,1.14E+018,"""Which also allows a film like Kabir Singh or Arjun Reddy to exist. Therefore"
1.14E+018,tweet,1560000000000,olee_5,433976422,,1.14E+018,shahidkapoor thank you so much. Because of you I am sure there are so many young boys who would want to be like kabir Singh in real life. Already as a girl I feel so scared all the time (everywhere) and now movies like this is going to increase my fear. Thank you sir.
1.14E+018,tweet,1560000000000,SurendraDoljha1,1.04E+018,,1.14E+018,shahidkapoorI watched Kabir Singh. It is very lovable movie after long year I watched paisa vasul movie.Nice work great act by u and your team. Congratulations my ratings 5*****. Keep doing good work love you once again...
1.14E+018,tweet,1560000000000,KingPhilosophus,3257722376,,1.14E+018,"""To pretend that depression"
1.14E+018,tweet,1560000000000,Kavin1102,8.45E+017,,1.14E+018,Â  CWC19  PAKvSA  NadigarSangamElections  BiggBossTamil3  KabirSingh  kabirsinghboxoffice  à®¤à®®à®¿à®´à¯à®¨à®¾à®à¯à®à¯à®µà¯à®à®¿à®à®à®à®à¯à®à®³à¯  kaipullaVIJAY  VanduMuruganAJITHpic.twitter.com/ev0yiu1lvz
1.14E+018,tweet,1560000000000,kushaalchawda,386487439,,1.14E+018,the_hindu you need to figure this out. KabirSingh  kabirsinghboxoffice  kabirsinghmovie  ArjunReddypic.twitter.com/Tfaahl6Ekw
1.14E+018,tweet,1560000000000,RatiSingh_,112136716,,1.14E+018,"""Kabir Singh is almost 3hrs long and has a LOT issues which are not at all subtle. Just a little over a year ago"
1.14E+018,tweet,1560000000000,getalife108,1.05E+018,,1.14E+018,"""Nd am nt just discussing the kiss here or just Kabir Singh.100s of youngsters move towards alcoholism when they hv a heartbreak-one of key drivers subconsciously is that they've seen this is wat is done by a person who has aon some media-am not making this up"
1.14E+018,tweet,1560000000000,Nazibkhan2933,3301379371,,1.14E+018,"""Kabir Singh is not just a film"
1.14E+018,tweet,1560000000000,shubhamkakkar00,7.07E+017,,1.14E+018,"""When preeti sikka said """"this is your baby"""" to kabir Singh"
1.14E+018,tweet,1560000000000,ShaktiS96227987,1.06E+018,,1.14E+018,"""Trust me you deserve more"
1.14E+018,tweet,1560000000000,seth_raunaq,28304189,,1.14E+018,Let the pseudo feminists bark as long as they want to  KabirSingh Is a cult classic shahidkapoor you bloody beauty.
1.14E+018,tweet,1560000000000,SumitPaul18_9,9.92E+017,,1.14E+018,shahidkapoor you are one of the phenomenal actor. The role of  KabirSingh is one of the best role i have seen so far now. No one would have done this role with such intensity. kabirsinghmovie
1.14E+018,tweet,1560000000000,Sunaina224ever,7.33E+017,,1.14E+018,I'll watch this week hopefully.  KabirSingh  YehAaina
1.14E+018,tweet,1560000000000,aloobhujiya,9.99E+017,,1.14E+018,"""hello I'm sorry to hear what you went through! however"
1.14E+018,tweet,1560000000000,meena74,19599353,,1.14E+018,Kabir Singh glorifies toxic behaviour: More flaws in Shahid Kapoor film beyond misogyny | bollywood | Hindustan Times  Â â¦
1.14E+018,tweet,1560000000000,rajivanrajiv,200105328,,1.14E+018,"""Today i saw the  KabirSingh movie theatre was housefull audience are enjoying the movie  Comeon yaar this is a movie"
1.14E+018,tweet,1560000000000,choudhry116,3454025356,,1.14E+018,"""you said Kabir singh wont work"
1.14E+018,tweet,1560000000000,ksaliraza,161375202,,1.14E+018,What a movie  KabirSingh is! Love.Rage.Misunderstandings. Relatable in so many ways. An Emotional Roller Coaster. A lifetime performance by my man  shahidkapoor
1.14E+018,tweet,1560000000000,Testrisha,7.41E+017,,1.14E+018,"test4 Box Office Report: Shahid And Kiara's 'Kabir Singh' Is ""Unstoppable"""
1.14E+018,tweet,1560000000000,choudhry116,3454025356,,1.14E+018,I used to think you talk fair but after this comment I believe if you think notebook was good? and some films that you named which never worked at box office then this is much better than those movies... this is a unique story.. even Kabir singh you first didnt like...
1.14E+018,tweet,1560000000000,waheedansari,100350079,,1.14E+018,Confused which movie to watch first...  ArjunReddy or  KabirSingh
1.14E+018,tweet,1560000000000,nilayjoshi5,1672375182,,1.14E+018,RjDhvanit this is the answer of your mirchi review on the movie Kabir Singh. Next time Dhvani please donât criticises some. And people love shahid Kapoor and its acting. We have seen many movies in past with drugs and all shit so please donât give us that reason now.
1.14E+018,tweet,1560000000000,manatelugu,309353206,,1.14E+018,Please Checkout this news - Kabir Singh beats Arjun Reddyâs lifetime business in 2 days  Â pic.twitter.com/cYVsyKsxWu
1.14E+018,tweet,1560000000000,wsuraj146,3149662130,,1.14E+018,Bohot hardAwesomeMovie â watching Kabir Singh
1.14E+018,tweet,1560000000000,iomxprakash,3108577902,,1.14E+018,Two films of Shahid kapoor1. R... RajkumarCritic : 2*/5Public : thumbs up2.  KabirSinghCritic : 2*/5Public : thumbs upMoral : who gives fuck to them.. Enjoy the movie in every weekend as you always do.Movie Lover
1.14E+018,tweet,1560000000000,being_abhay,113580693,,1.14E+018,""" KabirSingh is a super hit.If u r broken "
1.14E+018,tweet,1560000000000,editor_dineshg7,1457734111,,1.14E+018,Watched  KabirSingh Remake of Telugu Movie  ArjunReddy Completely Disappointed
1.14E+018,tweet,1560000000000,shivammalik_,1875699109,,1.14E+018,Just watched the movie  KabirSingh Whatta Movie Man !!! Shahid Kapoor acting Liked it a lot  kabirsinghboxoffice  KabirSinghReview
1.14E+018,tweet,1560000000000,SheikhMurtuza3,1.13E+018,,1.14E+018,Kabir Singh..!  shahidkapoor pic.twitter.com/ZikXWoymvL
1.14E+018,tweet,1560000000000,shahabasif,143937773,,1.14E+018,shahidkapoor Amazing Job  Must watch movie .... KabirSingh
1.14E+018,tweet,1560000000000,virdi_fateh,1482368628,,1.14E+018,"One of the best romantic movie that i have ever seen...Shahid Kapoor HATSOFF MAN. Amazing story nd songs is too gud. In this movie it is said that what is ""TRUE LOVE""  GREAT JOB... teamkabirsingh â watching Kabir Singh at Mukta Cinema Parker mall  Â â¦"
1.14E+018,tweet,1560000000000,RatiSingh_,112136716,,1.14E+018,"""The problem with Kabir Singh is not only the deeply rooted sexism"
1.14E+018,tweet,1560000000000,aniket_bhise,165793277,,1.14E+018,Yeah. It's a see it forget it story. No need of Kabir Singh in our life. Too much of negativity. No sense in story. Log dekhte hai toh kuch bhi dikhane ka? But afterall it's a fiction. People must understand that and not take it to heart. Just chill :)
1.14E+018,tweet,1560000000000,MisalRaj_,1106682277,,1.14E+018,Still can't get over of  shahidkapoor fabulous acting. Something out of the box form him.. & for hindi cinema movie lovers.  Sleepless night..  KabirSingh
1.14E+018,tweet,1560000000000,snarayan912,932360250,,1.14E+018,watching Kabir Singh at CinÃ©polis  Â â¦
1.14E+018,tweet,1560000000000,BeingAlyB,133636526,,1.14E+018,"""Kiara new best thing"
1.14E+018,tweet,1560000000000,urstruIychandu,1080060080,,1.14E+018,wow..perfect review ma'am..seen all ur tweets on  kabirsingh ..i totally agree with you..good analysis
1.14E+018,tweet,1560000000000,neoonenow,1943844384,,1.14E+018,Good for him.Puri jaganArya sukkuVangaMahesh directors list he went with ravipudi. He did mention he has one commitment in telugu after kabir singh
1.14E+018,tweet,1560000000000,MariaSartaj,1904949558,,1.14E+018,Kabir Singh needed a jhaapar bachpan main to fix him.
1.14E+018,tweet,1560000000000,mariya_dawe,7.18E+017,,1.14E+018,Its 02.47 am N  KabirSingh songs are on repeat.. And every word reminds me of you.  D
1.14E+018,tweet,1560000000000,iAshlesha,122951285,,1.14E+018,"""Above all"
1.14E+018,tweet,1560000000000,iAshlesha,122951285,,1.14E+018,"""I watched  KabirSingh and I was literally shocked throughout the movie. In the age of our fight against toxic masculinity"
1.14E+018,tweet,1560000000000,X_sanamre1,1E+018,,1.14E+018,Kabir Singh Lvl Movie Itny Franch Kissing
1.14E+018,tweet,1560000000000,FrStreamZ,7.67E+017,,1.14E+018,"""Top story: Box Office: Kabir Singh all set to become Shahid Kapoor's first solo Rs. 100 cr grosser - Bollywood Hungama  Â â¦"
1.14E+018,tweet,1560000000000,anilyzethis,145126153,,1.14E+018,UPDATE : SLY ItS jUsT A mOviEee KabirSingh pic.twitter.com/o7mRxd9ycn
1.14E+018,tweet,1560000000000,anshumansingh82,2719190282,,1.14E+018,this [ review ] called 'Kabir Singh' by corpse here -   Â â¦ Love  Live  Ttt-prompt  Booktomovieadaptationreview  terriblytinytales  ttt  writer  writersofttt  picoftheday  quotes  read  wordporn  writerscommunity  blogger  microfiction  storytelling  storiespic.twitter.com/UTbZ4W8gn8
1.14E+018,tweet,1560000000000,tipramas,110168550,,1.14E+018,""" shahidkapoor aeda kaeda performance nhin Dita paaji tussi till date ...  KabirSinghMovie  KabirSingh  Advani_Kiara loved your performance"
1.14E+018,tweet,1560000000000,shahamit0707,584179008,,1.14E+018,""" shahidkapoor take a bow!!!Amazing acting"
1.14E+018,tweet,1560000000000,Mr_Lodha,1388990618,,1.14E+018,Watte movie  KabirSingh  shahidkapoor what a acting!! Superb.  Advani_Kiara youâre the sweetest.
1.14E+018,tweet,1560000000000,KDparmar143km,2974939500,,1.14E+018,Bro you deserve. It  KabirSingh
1.14E+018,tweet,1560000000000,cashankargupta,558543277,,1.14E+018,""" shahidkapoor  kabirsingh"
1.14E+018,tweet,1560000000000,TheUnfake,8.63E+017,,1.14E+018,Arjun Reddy dekhi hai???D movie is real scumIf Kabir Singh is Arjun Reddy remake to the dot then even Kabir Singh is scumLove at first sight BSLive inBreak upTharkipanBewdapantiN d most romantically cruel endingN a hell lot of castist stupidity in d script
1.14E+018,tweet,1560000000000,ArpitDudwewal,7.32E+017,,1.14E+018,""" shahidkapoor love you a lot sir. Learned a lota nd the way you have acted"
1.14E+018,tweet,1560000000000,phalguni_bose,2521054574,,1.14E+018,KabirSingh Again!  shahidkapoor You are just too amazing!  Loved watching the movie again today.
1.14E+018,tweet,1560000000000,KartikDayanand,44353233,,1.14E+018,"""Sandeep Reddy Vanga wanted to make a Telugu film with Mahesh Babu after  ArjunReddy. That didn't work out"
1.14E+018,tweet,1560000000000,iamkrishnam,52138610,,1.14E+018,Please guys! give me a break.  KabirSingh or  ArjunReddy is total hype and no stuff. Nothing credible to talk about. Just silly mindless that can ruin and misguide many. Worthless fiction. Of course such mindlessness is piling up in Indian cinema for decades now.
1.14E+018,tweet,1560000000000,AWKAfridi,1910056603,,1.14E+018,shahidkapoor loved ur movie  KabirSingh but in pirated version as its not shown in cinemas. Will definetly buy Blu Ray version.
1.14E+018,tweet,1560000000000,GauravJ798,8.84E+017,,1.14E+018,""" Haider   Padmavat  shahidkapoor Fabulous n Amazing Performance by him... Full of   Craziness.... Headsoff.... Very Good Content"
1.14E+018,tweet,1560000000000,ManjGhuman,380012862,,1.14E+018,shahidkapoor what is your favourite kabir Singh poster.? pic.twitter.com/uBc97mWKrm
1.14E+018,tweet,1560000000000,harsh110888,2749521013,,1.14E+018,""" Sonamohapatra If a Dawood Ibrahim"
1.14E+018,tweet,1560000000000,skshailak47,1694214847,,1.14E+018,"""watching Kabir Singh at Phoenix United Mall"
1.14E+018,tweet,1560000000000,AakarshanMehra,2606909612,,1.14E+018,""" shahidkapoor  Advani_Kiara  watched Kabir singh"
1.14E+018,tweet,1560000000000,AnupamChaturvdi,208010600,,1.14E+018,Your thoughts? KabirSingh  KabirSinghBoxOffice  AnupamVicharpic.twitter.com/FDapCZupUG
1.14E+018,tweet,1560000000000,RasalArfaz,1.14E+018,,1.14E+018,Advani_Kiara excellent movie kabir Singh. After a long time I loved watching a movie
1.14E+018,tweet,1560000000000,ravijoseph532,7.2E+017,,1.14E+018,SunsetShimmer  KabirSingh  LessonsLifeTaughtMeUnknowinglypic.twitter.com/XEmz4KlXGT
1.14E+018,tweet,1560000000000,MariaSartaj,1904949558,,1.14E+018,"""Desi men tend to compartmentalise females in general. Some are marked for falling in loveâthe docile"
1.14E+018,tweet,1560000000000,IamAaaaabhijit,239062777,,1.14E+018,"""So now the superstars list updated for this decade.. And  It'sShahrukh"
1.14E+018,tweet,1560000000000,ReallyShreyansh,1.07E+018,,1.14E+018,"""IMO"
1.14E+018,tweet,1560000000000,AdvancedMaushi,616253307,,1.14E+018,"""If feminism 3.0 are hating the movie Kabir Singh"
1.14E+018,tweet,1560000000000,ChokraShetty,64006492,,1.14E+018,Fun fact : Kabir Singh also had Kiara Advani in it. KabirSingh
1.14E+018,tweet,1560000000000,Vipin00450951,4037759833,,1.14E+018,Yes the same Kabir Singh u were dying to make flop before release
1.14E+018,tweet,1560000000000,normieengineer_,4347065412,,1.14E+018,"""Dear Prasoon Joshi"
1.14E+018,tweet,1560000000000,bfanofhm,134112721,,1.14E+018,Am I the only one who thought about  DOCTORATLARGE during  KabirSingh ?? Twitter ladies hit up with responses
1.14E+018,tweet,1560000000000,JasminaSW,1549240572,,1.14E+018,"""By the way"
