Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
89,Bihar,Purvi Champaran,26.4701,84.8985,Radha Mohan Singh,GEN,GEN,Bharatiya Janata Party,Lotus,882768,79.31,192163
90,Bihar,Samastipur (Sc),25.2237,85.8294,Ram Chandra Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,978795,84.68,6872
91,Bihar,Saran,25.856,84.8568,Rajiv Pratap Rudy,GEN,GEN,Bharatiya Janata Party,Lotus,893351,85.16,40948
92,Bihar,Sasaram (Sc),24.9636,83.7624,Chhedi Paswan,SC,SC,Bharatiya Janata Party,Lotus,889152,82.23,63327
93,Bihar,Sheohar,26.6214,85.1894,Rama Devi,GEN,GEN,Bharatiya Janata Party,Lotus,847608,76.71,136239
94,Bihar,Sitamarhi,26.5902,85.5,Ram Kumar Sharma,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,790361,72.08,147965
95,Bihar,Siwan,26.1656,84.3121,Om Prakash Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,811852,78.87,113847
96,Bihar,Supaul,25.8942,86.3719,Ranjeet Ranjan,GEN,GEN,Indian National Congress,Hand,786342,81.53,59672
97,Bihar,Ujiarpur,25.4533,83.9665,Nityanand Rai,GEN,GEN,Bharatiya Janata Party,Lotus,809587,77.47,60469
98,Bihar,Vaishali,26.1018,85.1479,Rama Kishore Singh,GEN,GEN,Lok Jan Shakti Party,Bungalow,884474,74.02,99267
99,Bihar,Valmiki Nagar,27.4047,83.9003,Satish Chandra Dubey,GEN,GEN,Bharatiya Janata Party,Lotus,775650,77.14,117795
100,Chandigarh,Chandigarh,30.7332,76.7796,Kirron Kher ,GEN,GEN,Bharatiya Janata Party,Lotus,453460,76.15,69642
101,Chhattisgarh,Bastar,18.7965,81.3399,Dinesh Kashyap,ST,ST,Bharatiya Janata Party,Lotus,1187329,76.15,124359
102,Chhattisgarh,Bilaspur,22.3246,81.9535,Lakhan Lal Sahu,GEN,GEN,Bharatiya Janata Party,Lotus,1246219,71.93,176436
103,Chhattisgarh,Durg,21.5407,81.4279,Tamradhwaj Sahu,GEN,GEN,Indian National Congress,Hand,1073367,72.69,16848
104,Chhattisgarh,Janjgir-Champa,22.1079,83.5776,Kamla Patle,SC,SC,Bharatiya Janata Party,Lotus,1052839,69.11,174961
105,Chhattisgarh,Kanker,20.2166,81.4279,Vikram  Usendi,ST,ST,Bharatiya Janata Party,Lotus,1090583,76.09,35158
106,Chhattisgarh,Korba,22.6299,82.3886,Dr. Banshilal Mahto,GEN,GEN,Bharatiya Janata Party,Lotus,1178305,77.7,4265
107,Chhattisgarh,Mahasamund,20.8175,82.1278,Chandu Lal Sahu (Chandu Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,1259142,51.05,1217
108,Chhattisgarh,Raigarh,22.3943,83.507,Vishnu Deo Sai,ST,ST,Bharatiya Janata Party,Lotus,1250872,53.06,216750
109,Chhattisgarh,Raipur,23.0366,90.7616,Ramesh Bais,GEN,GEN,Bharatiya Janata Party,Lotus,1131254,53.3,171646
110,Chhattisgarh,Rajnandgaon,21.3236,80.8987,Abhishek Singh,GEN,GEN,Bharatiya Janata Party,Lotus,769972,60.51,235911
111,Chhattisgarh,Sarguja,23.4196,83.0791,Kamalbhan Singh Marabi,ST,ST,Bharatiya Janata Party,Lotus,1017080,71.58,147236
112,Dadra & Nagar Haveli,Dadar & Nagar Haveli,20.2778,73.0641,Patel Natubhai Gomanbhai,ST,ST,Bharatiya Janata Party,Lotus,165324,76.15,6214
113,Daman & Diu,Daman & Diu,20.4283,72.8397,Patel Lalubhai Babubhai,GEN,GEN,Bharatiya Janata Party,Lotus,87233,76.15,9222
114,Goa,North Goa,15.5163,73.983,Shripad Yesso Naik,GEN,GEN,Bharatiya Janata Party,Lotus,406945,76.15,105599
115,Goa,South Goa,15.2993,74.124,Adv. Narendra Keshav Sawaikar,GEN,GEN,Bharatiya Janata Party,Lotus,410495,71.93,32330
116,Gujarat,Ahmedabad East,23.2217,72.757,Paresh Rawal,GEN,GEN,Bharatiya Janata Party,Lotus,947521,76.15,326633
117,Gujarat,Ahmedabad West,23.0417,72.5915,Dr. Kirit P Solanki,SC,SC,Bharatiya Janata Party,Lotus,887366,71.93,320311
118,Gujarat,Amreli,21.3637,71.3824,Kachhadiya Naranbhai Bhikhabhai,GEN,GEN,Bharatiya Janata Party,Lotus,956616,72.69,156232
119,Gujarat,Anand,22.3299,72.6151,Dilip Patel,GEN,GEN,Bharatiya Janata Party,Lotus,1004295,69.11,63426
120,Gujarat,Banaskantha,24.3455,71.7622,Chaudhary Haribhai Parthibhai,GEN,GEN,Bharatiya Janata Party,Lotus,1095863,76.09,202334
121,Gujarat,Bardoli,21.1206,73.118,Vasava Parbhubhai Nagarbhai,ST,ST,Bharatiya Janata Party,Lotus,1137014,77.7,123884
122,Gujarat,Bharuch,21.8368,73.1822,Vasava Mansukhbhai Dhanjibhai,GEN,ST,Bharatiya Janata Party,Lotus,986526,51.05,153273
123,Gujarat,Bhavnagar,21.6931,71.8571,Dr. Bharatiben Dhirubhai Shiyal,GEN,GEN,Bharatiya Janata Party,Lotus,965560,53.06,295488
124,Gujarat,Chhota Udaipur,22.0801,73.7478,Ramsinh Rathwa,ST,ST,Bharatiya Janata Party,Lotus,945439,53.3,179729
125,Gujarat,Dahod,22.8596,74.124,Jasvantsinh Sumanbhai Bhabhor,ST,ST,Bharatiya Janata Party,Lotus,1057783,60.51,230354
126,Gujarat,Gandhinagar,22.9945,72.3785,L.K.Advani,GEN,GEN,Bharatiya Janata Party,Lotus,809985,71.58,483121
127,Gujarat,Jamnagar,22.3248,70.2408,Poonamben Hematbhai Maadam,GEN,GEN,Bharatiya Janata Party,Lotus,852989,75.55,175289
